0m, 0.22
60m, 0.238666669
120m, 0.257333338
180m, 0.276000007
240m, 0.29466667599999996
300m, 0.313333345
360m, 0.332000014
420m, 0.350666683
480m, 0.369333352
540m, 0.388000021
600m, 0.40666669
660m, 0.425333359
720m, 0.44400002799999994
780m, 0.46266669699999996
840m, 0.481333366
900m, 0.5
960m, 0.48250000000000004
1020m, 0.46499999999999997
1080m, 0.4475
1140m, 0.43000000000000005
1200m, 0.4125
1260m, 0.395
1320m, 0.3775
1380m, 0.36
1440m, 0.3425
1500m, 0.325
1560m, 0.35066725
1620m, 0.37633394000000003
1680m, 0.40200062999999997
1740m, 0.42766731999999996
1800m, 0.45333400999999995
1860m, 0.47900070000000006
1920m, 0.50466739
1980m, 0.53033408
2040m, 0.55600077
2100m, 0.58166746
2160m, 0.60733415
2220m, 0.63300084
2280m, 0.6586675300000001
2340m, 0.6843342200000001
2400m, 0.7100000000000001
2460m, 0.6855
2520m, 0.661
2580m, 0.6365
2640m, 0.612
2700m, 0.5875
2760m, 0.5630000000000001
2820m, 0.5385
2880m, 0.514
2940m, 0.48950000000000005
3000m, 0.46499999999999997
3060m, 0.4405
3120m, 0.41600000000000004
3180m, 0.39149999999999996
3240m, 0.367
3300m, 0.3425
3360m, 0.318
3420m, 0.2935
3480m, 0.269
3540m, 0.2445
3600m, 0.22
3660m, 0.248
3720m, 0.276
3780m, 0.304
3840m, 0.33199999999999996
3900m, 0.36
3960m, 0.388
4020m, 0.41600000000000004
4080m, 0.44399999999999995
4140m, 0.472
4200m, 0.5
4260m, 0.528
4320m, 0.556
4380m, 0.584
4440m, 0.612
4500m, 0.64
4560m, 0.668
4620m, 0.6960000000000001
4680m, 0.7240000000000001
4740m, 0.752
4800m, 0.78
4860m, 0.7473314200000001
4920m, 0.7146647300000001
4980m, 0.68199804
5040m, 0.64933135
5100m, 0.61666466
5160m, 0.58399797
5220m, 0.55133128
5280m, 0.51866459
5340m, 0.4859979
5400m, 0.45333121
5460m, 0.42066452
5520m, 0.38799783
5580m, 0.35533114
5640m, 0.32266445
5700m, 0.29000000000000004
5760m, 0.2984
5820m, 0.30679999999999996
5880m, 0.31520000000000004
5940m, 0.3236
6000m, 0.33199999999999996
6060m, 0.3404
6120m, 0.3488
6180m, 0.3572
6240m, 0.36560000000000004
6300m, 0.374
6360m, 0.3824
6420m, 0.3908
6480m, 0.3992
6540m, 0.40759999999999996
6600m, 0.41600000000000004
6660m, 0.4244
6720m, 0.43279999999999996
6780m, 0.44120000000000004
6840m, 0.4496
6900m, 0.45799999999999996
6960m, 0.46640000000000004
7020m, 0.4748
7080m, 0.48319999999999996
7140m, 0.49160000000000004
7200m, 0.5
